shiptype,ton,length
Cargo ships,1,3
Cargo ships,2,5
Cargo ships,3,8
Cargo ships,3,7
Cargo ships,3,7
Cargo ships,3,5
Cargo ships,3,5
Cargo ships,3,5
Cargo ships,3,5
Cargo ships,3,5
Cargo ships,3,5
Cargo ships,3,5
Cargo ships,3,5
Cargo ships,3,5
Cargo ships,3,5
Cargo ships,3,5
Cargo ships,3,5
Cargo ships,3,0
Cargo ships,5,6
Cargo ships,6,9
Cargo ships,8,8
Cargo ships,8,0
Cargo ships,12,12
Cargo ships,12,10
Cargo ships,17,15
Cargo ships,17,15
Cargo ships,17,12
Cargo ships,17,10
Cargo ships,20,15
Cargo ships,20,12
Cargo ships,20,10
Cargo ships,24,15
Cargo ships,24,12
Cargo ships,24,12
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,24,10
Cargo ships,27,14
Cargo ships,31,16
Cargo ships,31,11
Cargo ships,31,10
Cargo ships,36,20
Cargo ships,36,20
Cargo ships,36,16
Cargo ships,36,15
Cargo ships,36,13
Cargo ships,41,16
Cargo ships,41,12
Cargo ships,41,7
Cargo ships,41,4
Cargo ships,46,25
Cargo ships,46,15
Cargo ships,46,15
Cargo ships,46,12
Cargo ships,46,12
Cargo ships,52,16
Cargo ships,52,13
Cargo ships,59,11
Cargo ships,65,23
Cargo ships,65,20
Cargo ships,65,18
Cargo ships,65,15
Cargo ships,65,15
Cargo ships,65,14
Cargo ships,65,7
Cargo ships,73,22
Cargo ships,73,19
Cargo ships,73,17
Cargo ships,81,28
Cargo ships,81,25
Cargo ships,81,22
Cargo ships,81,20
Cargo ships,81,20
